Index,Country,Year,Value,Rank
GII,Sweden,2019,63.7,1
EIS,Sweden,2019,138.177,1
DESI,Sweden,2019,58.394575,1
GKI,Austria,2020,65.4,8
GII,Austria,2020,50.1,9
EIS,Austria,2020,124.006,7
DESI,Austria,2020,50.22135,11
GKI,Belgium,2020,65.4,9
GII,Belgium,2020,49.1,10
EIS,Belgium,2020,127.596,6
DESI,Belgium,2020,51.133225,10
GKI,Bulgaria,2020,48.3,26
GII,Bulgaria,2020,40,21
EIS,Bulgaria,2020,46.901,26
DESI,Bulgaria,2020,34.434375,25
GKI,Croatia,2020,49.6,24
GII,Croatia,2020,37.3,25
EIS,Croatia,2020,61.91,23
DESI,Croatia,2020,40.496725,20
GKI,Cyprus,2020,54.9,20
GII,Cyprus,2020,45.7,14
EIS,Cyprus,2020,88.695,17
DESI,Cyprus,2020,39.292125,22
GKI,Czechia,2020,58.7,15
GII,Czechia,2020,48.3,11
EIS,Czechia,2020,85.732,18
DESI,Czechia,2020,43.806475,18
GKI,Denmark,2020,68.3,5
GII,Denmark,2020,57.5,3
EIS,Denmark,2020,140.058,1
DESI,Denmark,2020,61.7787,2
GKI,Estonia,2020,60.5,11
GII,Estonia,2020,48.3,12
EIS,Estonia,2020,98.78,11
DESI,Estonia,2020,54.66085,7
GKI,Finland,2020,70.8,1
GII,Finland,2020,57,4
EIS,Finland,2020,134.42,4
DESI,Finland,2020,62.797325,1
GKI,France,2020,64,10
GII,France,2020,53.7,6
EIS,France,2020,114.709,10
DESI,France,2020,47.244725,16
GKI,Germany,2020,66.2,6
GII,Germany,2020,56.5,5
EIS,Germany,2020,122.068,8
DESI,Germany,2020,49.049475,13
GKI,Greece,2020,46.8,27
GII,Greece,2020,36.8,26
EIS,Greece,2020,75.206,20
DESI,Greece,2020,32.8631,26
GKI,Hungary,2020,53.9,23
GII,Hungary,2020,41.5,19
EIS,Hungary,2020,67.96,21
DESI,Hungary,2020,38.5293,23
GKI,Ireland,2020,66.1,7
GII,Ireland,2020,53,7
EIS,Ireland,2020,120.784,9
DESI,Ireland,2020,54.074975,8
GKI,Italy,2020,56.6,17
GII,Italy,2020,45.7,15
EIS,Italy,2020,92.94,14
DESI,Italy,2020,40.8192,19
GKI,Latvia,2020,55.1,18
GII,Latvia,2020,41.1,20
EIS,Latvia,2020,55.952,25
DESI,Latvia,2020,47.213875,17
GKI,Lithuania,2020,55,19
GII,Lithuania,2020,39.2,24
EIS,Lithuania,2020,84.089,19
DESI,Lithuania,2020,49.4417,12
GKI,Luxembourg,2020,69.5,4
GII,Luxembourg,2020,50.8,8
EIS,Luxembourg,2020,128.445,5
DESI,Luxembourg,2020,55.464575,6
GKI,Malta,2020,59.7,13
GII,Malta,2020,46.4,13
EIS,Malta,2020,95.963,13
DESI,Malta,2020,56.46745,5
GKI,Netherlands,2020,69.7,3
GII,Netherlands,2020,58.8,2
EIS,Netherlands,2020,137.812,3
DESI,Netherlands,2020,58.884425,4
GKI,Poland,2020,54.3,22
GII,Poland,2020,40,22
EIS,Poland,2020,58.342,24
DESI,Poland,2020,37.604725,24
GKI,Portugal,2020,60.2,12
GII,Portugal,2020,43.5,17
EIS,Portugal,2020,96.966,12
DESI,Portugal,2020,47.474075,15
GKI,Romania,2020,48.5,25
GII,Romania,2020,36,27
EIS,Romania,2020,33.794,27
DESI,Romania,2020,29.980025,27
GKI,Slovakia,2020,54.6,21
GII,Slovakia,2020,39.7,23
EIS,Slovakia,2020,66.69,22
DESI,Slovakia,2020,39.698575,21
GKI,Slovenia,2020,58.8,14
GII,Slovenia,2020,42.9,18
EIS,Slovenia,2020,91.526,16
